albums,dates,peak_position
"
                                    IN MY LIFETIME - VOLUME 1
                                ","

                            15.11.
                            
                            1997
                        ",78
"
                                    THE DYNASTY - ROC LA FAMILIA
                                ","

                            11.11.
                            
                            2000
                        ",86
"
                                    THE BLUEPRINT
                                ","

                            29.09.
                            
                            2001
                        ",30
"
                                    THE BEST OF BOTH WORLDS
                                ","

                            30.03.
                            
                            2002
                        ",37
"
                                    CHAPTER ONE
                                ","

                            30.03.
                            
                            2002
                        ",65
"
                                    THE BLUEPRINT 2 THE GIFT & THE CURSE
                                ","

                            30.11.
                            
                            2002
                        ",23
"
                                    THE BLACK ALBUM
                                ","

                            29.11.
                            
                            2003
                        ",34
"
                                    UNFINISHED BUSINESS
                                ","

                            06.11.
                            
                            2004
                        ",61
"
                                    COLLISION COURSE
                                ","

                            11.12.
                            
                            2004
                        ",15
"
                                    KINGDOM COME
                                ","

                            09.12.
                            
                            2006
                        ",35
"
                                    AMERICAN GANGSTER
                                ","

                            17.11.
                            
                            2007
                        ",30
"
                                    THE BLUEPRINT 3
                                ","

                            26.09.
                            
                            2009
                        ",04
"
                                    THE HITS COLLECTION - VOL 1
                                ","

                            20.11.
                            
                            2010
                        ",20
"
                                    WATCH THE THRONE
                                ","

                            20.08.
                            
                            2011
                        ",03
"
                                    MAGNA CARTA HOLY GRAIL
                                ","

                            20.07.
                            
                            2013
                        ",01
"
                                    4:44
                                ","

                            20.07.
                            
                            2017
                        ",03
