artist,title,track_n,line,lyric,track_title
Beyonce,Dangerously in Love,1,1,Yes! So crazy right now!,Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,2,"Most incredibly, it's your girl, B",Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,3,"It's your boy, Young",Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,4,You ready?,Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,5,"Oh oh, oh oh, oh oh, oh no no (Oww!)",Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,6,"Oh oh, oh oh, oh oh, oh no no",Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,7,"Oh oh, oh oh, oh oh, oh no no",Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,8,"Oh oh, oh oh, oh oh, oh no no",Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,9,Geah! History in the making,Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,10,Part two!,Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,11,It's so crazy right now,Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,12,I look and stare so deep in your eyes (I...),Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,13,I touch on you more and more every time,Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,14,"When you leave, I'm begging you not to go",Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,15,"Call your name, two, three times in a row",Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,16,Such a funny thing for me to try to explain,Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,17,"How I'm feeling, and my pride is the one to blame (Yeah)",Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,18,'Cause I know I don't understand,Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,19,Just how your love can do what no one else can,Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,20,Got me looking so crazy right now,Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,21,Your love's got me looking so crazy right now (Your love),Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,22,Got me looking so crazy right now,Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,23,Your touch got me looking so crazy right now (Your touch),Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,24,Got me hoping you'll page me right now (Hey),Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,25,Your kiss got me hoping you'll save me right now,Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,26,"Looking so crazy, your love's got me looking",Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,27,Got me looking so crazy in love,Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,28,"Oh oh, oh oh, oh oh, oh no no",Crazy in Love (Ft. JAY-Z)
Beyonce,Dangerously in Love,1,29,"Oh oh, oh oh, oh oh, oh no no",Crazy in Love (Ft. JAY-Z)
