artist,title,track_n,line,lyric,track_title
Jay-Z,Reasonable Doubt,1,1,NA,Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,2,"Ah shit, okay, okay, alright",Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,3,"Big man! You wanna make some big bucks, huh?",Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,4,Let's see how tough you are,Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,5,You know something about cocaine? Digame!,Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,6,You kidding me or what man?,Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,7,There's a bunch of Colombians coming in Friday - new guys,Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,8,"They said they got two keys for us, for openers",Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,9,"Pure cocaine, you tell 'em, capiche?",Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,10,I want you to go over there,Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,11,"And if it is what they say it is, you buy it, you bring it back",Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,12,You can do that you make five grand,Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,13,"Meet them at the Bodegas, noon Friday",Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,14,You get the buy money then,Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,15,"Oh and chico, if anything happens to the buy money",Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,16,"Eh, pobrecito",Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,17,JAY-Z's gonna stick your heads up your asses faster than a rabbit gets fucked,Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,18,"Bounce.. bounce, bounce, Jay-Z huh?",Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,19,"Yeah, yeah, yeah, Roc-A-Fella y'all, ha ha",Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,20,"Bounce, bounce, bounce, Roc-A-Fella y'all",Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,21,"Check, check",Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,22,"Yo, I'm making short term goals when the weather folds",Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,23,Just put away the leathers and put ice on the gold,Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,24,Chilly with enough bail money to free a big Willie,Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,25,"High stakes, I got more at stake than Philly",Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,26,"Shopping sprees, cop in three",Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,27,"Deuce fever IS's fully loaded, ah, yes",Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,28,"Bouncing in the Lex Luger, tires smoke like Buddha50 Gs to the crap shooter, niggas can't fade me",Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,29,Chrome socks beaming,Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,30,Through my peripheral I see you scheming,Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,31,"Stop dreaming, I leave your body steaming",Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,32,"Niggas is fiending, what's the meaning",Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,33,I'm leaning on any nigga intervening,Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,34,With the sound of my money machining (brrrr),Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,35,My cup runneth over with hundreds,Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,36,"I'm one of the best niggas that done it, six digits and running",Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,37,Y'all niggas don't want it,Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,38,"I got the Godfather flow, the Don Juan DeMarco",Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,39,"Swear to God, don't get it fucked up",Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,40,"I'm taking out this time (yeah, yeah, what)",Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,41,To give you a piece of my mind('Cause you can't knock the hustle),Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,42,Who do you think you are?,Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,43,Baby one day you'll be a star,Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,44,Last seen out of state where I drop my sling,Can't Knock the Hustle (Ft. Mary J. Blige)
Jay-Z,Reasonable Doubt,1,45,I'm deep in the South kicking up top game,Can't Knock the Hustle (Ft. Mary J. Blige)
